simplicial_motif_index, count
0,497978929.687500
1,348585250.781250
2,99595785.937500
3,232390167.187500
5,82996488.281250
7,82996488.281250
9,39838314.375000
10,87146312.695312
11,56022629.589844
12,6224736.621094
14,11066198.437500
15,5533099.218750
17,31123683.105469
21,4149824.414062
22,18108324.715909
23,4527081.178977
24,2489894.648438
25,2489894.648438
28,6224736.621094
37,16599297.656250
38,2371328.236607
43,2165125.781250
46,3621664.943182
47,905416.235795
67,1778496.177455
79,995957.859375
