simplicial_motif_index, count
0,163851267.187500
1,600787979.687500
2,54617089.062500
3,236674052.604167
5,91028481.770833
6,18205696.354167
7,127439874.479167
8,18205696.354167
9,10923417.812500
10,95579905.859375
11,61444225.195313
14,12137130.902778
15,6068565.451389
17,47789952.929688
21,4551424.088542
22,29791139.488636
23,4965189.914773
25,2730854.453125
28,20481408.398438
29,3413568.066406
37,18205696.354167
38,2600813.764881
43,2374656.046196
46,993037.982955
52,1986075.965909
66,1950610.323661
