simplicial_motif_index, count
0,310314987.239583
1,535998614.322917
2,73347178.802083
3,163620629.635417
4,7522787.569444
5,137290873.142361
6,13164878.246528
7,109080419.756944
8,5642090.677083
9,24825198.979167
10,125536517.565104
11,52894600.097656
12,7052613.346354
14,13164878.246528
15,1253797.928241
17,46547248.085938
18,5642090.677083
19,2821045.338542
21,5642090.677083
22,38468800.071023
23,1538752.002841
24,4231568.007813
25,846313.601563
28,8110505.348307
29,705261.334635
32,352630.667318
37,15314246.123512
38,1074683.938492
39,1343354.923115
43,8095173.580163
44,1471849.741848
46,3590421.339962
48,205166.933712
52,512917.334280
66,940348.446181
67,134335.492312
72,677050.881250
73,225683.627083
79,338525.440625
