simplicial_motif_index, count
0,442239302.812500
1,551434192.395833
2,81896167.187500
3,123754208.194444
4,9099574.131944
5,131033867.500000
6,7279659.305556
7,87355911.666667
8,1819914.826389
9,30574569.083333
10,116019570.182292
11,51867572.552083
12,4777276.419271
14,10312850.682870
17,52550040.611979
18,1364936.119792
19,682468.059896
21,4549787.065972
22,41692594.204545
23,3474382.850379
24,3275846.687500
25,1091948.895833
28,6824680.598958
29,1364936.119792
30,341234.029948
37,15339282.108135
38,2339890.491071
39,1039951.329365
43,7596166.231884
44,237380.194746
46,2580970.117424
47,198536.162879
48,198536.162879
49,99268.081439
52,595608.488636
66,844960.455109
67,129993.916171
72,873559.116667
73,327584.668750
79,109194.889583
103,43677.955833
